gRNA	cocktail	index	FoldChange	log2FC	eff	target
M100	cocktail_algorithm_1	M100_cocktail_algorithm_1	0.5275	0.923	1.9	tarbp2
M101	cocktail_algorithm_1	M101_cocktail_algorithm_1	0.5315	1.0825	2.39	tatdn2
M103	cocktail_algorithm_4	M103_cocktail_algorithm_4	0.3375	1.57	2.98	tlk2
M104	cocktail_algorithm_4	M104_cocktail_algorithm_4	0.2495	2.015	4.055	tspan31
M105	cocktail_algorithm_4	M105_cocktail_algorithm_4	0.144	2.805	7.02	usp1
M107	cocktail_algorithm_7	M107_cocktail_algorithm_7	0.782	0.39145	1.345	zmynd11
M108	cocktail_algorithm_7	M108_cocktail_algorithm_7	0.262	1.945	3.86	ube2g1a
M109	cocktail_algorithm_7	M109_cocktail_algorithm_7	0.5165	1.057	2.235	ago4
M111	cocktail_algorithm_1	M111_cocktail_algorithm_1	0.763	0.4115	1.35	atxn2l
M112	cocktail_algorithm_1	M112_cocktail_algorithm_1	0.4295	1.22	2.33	bckdk
M113	cocktail_algorithm_1	M113_cocktail_algorithm_1	0.6005	0.736	1.67	bzw1b
M115	cocktail_algorithm_4	M115_cocktail_algorithm_4	0.6935	0.535	1.455	calm2a
M116	cocktail_algorithm_4	M116_cocktail_algorithm_4	0.7115	0.4965	1.415	chd8
M117	cocktail_algorithm_4	M117_cocktail_algorithm_4	0.0482	4.48	23.95	cstf2
M119	cocktail_algorithm_7	M119_cocktail_algorithm_7	0.258	1.965	3.93	ddx39ab
M120	cocktail_algorithm_7	M120_cocktail_algorithm_7	0.286	1.81	3.51	ddx3xa
M121	cocktail_algorithm_7	M121_cocktail_algorithm_7	0.7365	0.484	1.44	ddx3xb
M123	cocktail_algorithm_1	M123_cocktail_algorithm_1	0.182	2.465	5.57	drap1
M124	cocktail_algorithm_1	M124_cocktail_algorithm_1	0.468	1.109	2.175	erf
M125	cocktail_algorithm_1	M125_cocktail_algorithm_1	0.4525	1.163	2.27	h2az2a
M127	cocktail_algorithm_4	M127_cocktail_algorithm_4	0.207	2.275	4.865	ilf2
M128	cocktail_algorithm_4	M128_cocktail_algorithm_4	0.3595	1.545	3.06	kdm3b
M129	cocktail_algorithm_4	M129_cocktail_algorithm_4	0.4845	1.062	2.11	nfyc
M131	cocktail_algorithm_7	M131_cocktail_algorithm_7	0.08035	3.735	14.145	qrich1
M132	cocktail_algorithm_7	M132_cocktail_algorithm_7	0.871	0.201	1.155	rbm7
M133	cocktail_algorithm_7	M133_cocktail_algorithm_7	0.737	0.4635	1.4	rtf2
M135	cocktail_algorithm_2	M135_cocktail_algorithm_2	0.7195	0.4745	1.39	ppp4r2a
M136	cocktail_algorithm_2	M136_cocktail_algorithm_2	1	-0.795	1	abhd17c
M137	cocktail_algorithm_2	M137_cocktail_algorithm_2	0.3465	1.525	2.88	alg3
M138	cocktail_algorithm_2	M138_cocktail_algorithm_2	0.513	0.963	1.95	ctdspl2a
M139	cocktail_algorithm_5	M139_cocktail_algorithm_5	0.1465	2.8	7.095	ctdspl3
M140	cocktail_algorithm_5	M140_cocktail_algorithm_5	0.5435	0.8885	1.86	dctpp1
M141	cocktail_algorithm_5	M141_cocktail_algorithm_5	0.495	1.023	2.04	emc6
M142	cocktail_algorithm_5	M142_cocktail_algorithm_5	0.972	-0.37315	1.03	golga7
M143	cocktail_algorithm_8	M143_cocktail_algorithm_8	1	-0.316	1	gtf3ab
M144	cocktail_algorithm_8	M144_cocktail_algorithm_8	1	-0.16035	1	hexim1
M146	cocktail_algorithm_8	M146_cocktail_algorithm_8	0.4785	1.1495	2.355	kdm2ab
M147	cocktail_algorithm_2	M147_cocktail_algorithm_2	0.5705	0.812	1.76	lmnb1
M148	cocktail_algorithm_2	M148_cocktail_algorithm_2	0.495	1.0205	2.035	lsm14aa
M149	cocktail_algorithm_2	M149_cocktail_algorithm_2	1	-0.379	1	mier1a
M151	cocktail_algorithm_5	M151_cocktail_algorithm_5	0.6735	0.571	1.485	mycla
M152	cocktail_algorithm_5	M152_cocktail_algorithm_5	0.183	2.45	5.47	naa40
M153	cocktail_algorithm_5	M153_cocktail_algorithm_5	0.8115	0.302	1.235	nfyal
M155	cocktail_algorithm_8	M155_cocktail_algorithm_8	0.946	0.08075	1.06	pabpn1l
M156	cocktail_algorithm_8	M156_cocktail_algorithm_8	0.6585	0.6035	1.52	prrg4
M157	cocktail_algorithm_8	M157_cocktail_algorithm_8	0.332	1.595	3.015	pttg1
M159	cocktail_algorithm_2	M159_cocktail_algorithm_2	0.2845	1.835	3.64	rpp25l
M160	cocktail_algorithm_2	M160_cocktail_algorithm_2	0.667	0.5905	1.515	setdb1b
M161	cocktail_algorithm_2	M161_cocktail_algorithm_2	1	-0.19185	1	stk26
M163	cocktail_algorithm_5	M163_cocktail_algorithm_5	0.9525	0.05985	1.05	syncripl
M164	cocktail_algorithm_5	M164_cocktail_algorithm_5	0.841	0.251	1.19	tia1
M165	cocktail_algorithm_5	M165_cocktail_algorithm_5	1	-0.6765	1	ube2al
M167	cocktail_algorithm_8	M167_cocktail_algorithm_8	0.456	1.2215	2.48	zc3h18
M168	cocktail_algorithm_8	M168_cocktail_algorithm_8	1	-0.8215	1	znf367
M169	cocktail_algorithm_8	M169_cocktail_algorithm_8	0.656	0.608	1.52	znf395a
M171	cocktail_algorithm_2	M171_cocktail_algorithm_2	0.3645	1.465	2.78	ncbp2
M172	cocktail_algorithm_2	M172_cocktail_algorithm_2	1	-2.44	1	h2af1al
M173	cocktail_algorithm_2	M173_cocktail_algorithm_2	0.8395	0.259	1.2	aebp2
M175	cocktail_algorithm_5	M175_cocktail_algorithm_5	0.392	1.355	2.56	cdca7b
M176	cocktail_algorithm_5	M176_cocktail_algorithm_5	0.92	0.071	1.095	dcun1d3
M177	cocktail_algorithm_5	M177_cocktail_algorithm_5	1	-0.2461	1	dnajc5ga
M179	cocktail_algorithm_8	M179_cocktail_algorithm_8	0.448	1.155	2.235	h1m
M180	cocktail_algorithm_8	M180_cocktail_algorithm_8	0.312	1.68	3.205	hcfc1a
M181	cocktail_algorithm_8	M181_cocktail_algorithm_8	0.84	0.2595	1.205	kdm4ab
M183	cocktail_algorithm_2	M183_cocktail_algorithm_2	0.3495	1.525	2.91	papolg
M184	cocktail_algorithm_2	M184_cocktail_algorithm_2	0.7655	0.3985	1.325	peli2
M185	cocktail_algorithm_2	M185_cocktail_algorithm_2	1	-0.0842	1	ppp4r2b
M187	cocktail_algorithm_5	M187_cocktail_algorithm_5	0.157	2.705	6.655	rbbp5
M188	cocktail_algorithm_5	M188_cocktail_algorithm_5	0.1023	3.31	10.05	rbm25b
M189	cocktail_algorithm_5	M189_cocktail_algorithm_5	1	-0.643	1	rnf128a
M191	cocktail_algorithm_8	M191_cocktail_algorithm_8	0.5995	0.754	1.705	smarce1
M192	cocktail_algorithm_8	M192_cocktail_algorithm_8	0.625	0.6845	1.61	smurf1
M193	cocktail_algorithm_8	M193_cocktail_algorithm_8	0.717	0.493	1.42	snupn
M195	cocktail_algorithm_2	M195_cocktail_algorithm_2	1	-0.8225	1	suz12a
M196	cocktail_algorithm_2	M196_cocktail_algorithm_2	0.2505	1.995	3.99	tarbp2
M197	cocktail_algorithm_2	M197_cocktail_algorithm_2	0.5725	0.806	1.75	tatdn2
M199	cocktail_algorithm_5	M199_cocktail_algorithm_5	0.619	0.696	1.625	tlk2
M200	cocktail_algorithm_5	M200_cocktail_algorithm_5	0.4395	1.19	2.275	tspan31
M201	cocktail_algorithm_5	M201_cocktail_algorithm_5	0.167	2.58	6.005	usp1
M203	cocktail_algorithm_8	M203_cocktail_algorithm_8	1	-0.3715	1	zmynd11
M204	cocktail_algorithm_8	M204_cocktail_algorithm_8	0.511	0.972	1.96	ube2g1a
M205	cocktail_algorithm_8	M205_cocktail_algorithm_8	0.109	3.195	9.165	ago4
M207	cocktail_algorithm_2	M207_cocktail_algorithm_2	0.757	0.412	1.34	atxn2l
M208	cocktail_algorithm_2	M208_cocktail_algorithm_2	0.0649	4.08	18.5	bckdk
M209	cocktail_algorithm_2	M209_cocktail_algorithm_2	0.5825	0.7805	1.72	bzw1b
M211	cocktail_algorithm_5	M211_cocktail_algorithm_5	0.9205	0.124475	1.095	calm2a
M212	cocktail_algorithm_5	M212_cocktail_algorithm_5	0.8725	0.1965	1.15	chd8
M213	cocktail_algorithm_5	M213_cocktail_algorithm_5	0.416	1.265	2.415	cstf2
M215	cocktail_algorithm_8	M215_cocktail_algorithm_8	0.7235	0.4665	1.385	ddx39ab
M216	cocktail_algorithm_8	M216_cocktail_algorithm_8	0.554	0.8935	1.91	ddx3xa
M217	cocktail_algorithm_8	M217_cocktail_algorithm_8	0.4295	1.2555	2.455	ddx3xb
M219	cocktail_algorithm_2	M219_cocktail_algorithm_2	0.337	1.575	2.98	drap1
M220	cocktail_algorithm_2	M220_cocktail_algorithm_2	0.4295	1.225	2.34	erf
M221	cocktail_algorithm_2	M221_cocktail_algorithm_2	0.58	0.786	1.725	h2az2a
M223	cocktail_algorithm_5	M223_cocktail_algorithm_5	0.322	1.64	3.13	ilf2
M224	cocktail_algorithm_5	M224_cocktail_algorithm_5	0.4195	1.265	2.425	kdm3b
M225	cocktail_algorithm_5	M225_cocktail_algorithm_5	0.2585	1.96	3.9	nfyc
M227	cocktail_algorithm_8	M227_cocktail_algorithm_8	0.6305	0.675	1.61	qrich1
M228	cocktail_algorithm_8	M228_cocktail_algorithm_8	0.1165	3.105	8.615	rbm7
M229	cocktail_algorithm_8	M229_cocktail_algorithm_8	0.9745	-0.27415	1.025	rtf2
M231	cocktail_algorithm_3	M231_cocktail_algorithm_3	0.1855	2.475	5.76	ppp4r2a
M232	cocktail_algorithm_3	M232_cocktail_algorithm_3	0.28	1.93	4.08	abhd17c
M233	cocktail_algorithm_3	M233_cocktail_algorithm_3	0.933	0.10115	1.07	alg3
M234	cocktail_algorithm_3	M234_cocktail_algorithm_3	0.527	0.9675	2.01	ctdspl2a
